"Amy Winehouse","Me and Mr. Jones","Co7sxfr42Ng","E:/Karaoke/Songs/Amy Winehouse - Me and Mr. Jones - Co7sxfr42Ng.mp4"
"Amy Winehouse","Rehab","TgOPJKg3u2s","E:/Karaoke/Songs/Amy Winehouse - Rehab - TgOPJKg3u2s.mp4"
"Amy Winehouse","Valerie ('68 Version)","rKn345EvCiU","E:/Karaoke/Songs/Amy Winehouse - Valerie ('68 Version) - rKn345EvCiU.mp4"
"Andrew Gold","Spooky Scary Skeletons","wkHL5AsSzF4","E:/Karaoke/Songs/Andrew Gold - Spooky Scary Skeletons - wkHL5AsSzF4.mp4"
"April Smith and the Great Picture Show","Dixie Boy","gm0Ta7t2p6c","E:/Karaoke/Songs/April Smith and the Great Picture Show - Dixie Boy - gm0Ta7t2p6c.mkv"
"Aqua","Barbie Girl","W28FCLk0dJo","E:/Karaoke/Songs/Aqua - Barbie Girl - W28FCLk0dJo.mkv"
"Aqua","Barbie Girl (Duet)","ozn8o U2sE4","E:/Karaoke/Songs/Aqua - Barbie Girl (Duet) - ozn8o_U2sE4.mkv"
"Arctic Monkeys","Do I Wanna Know","edorf0kTnJw","E:/Karaoke/Songs/Arctic Monkeys - Do I Wanna Know - edorf0kTnJw.mp4"
"Armed, The","AN ITERATION","n3fWSAZzgaY","E:/Karaoke/Songs/Armed, The - AN ITERATION - n3fWSAZzgaY.mkv"
"Armed, The","Where Man Knows Want","OHN1hzc9MDg","E:/Karaoke/Songs/Armed, The - Where Man Knows Want - OHN1hzc9MDg.mkv"
"Ashnikko","Daisy","qY3bMfwFTec","E:/Karaoke/Songs/Ashnikko - Daisy - qY3bMfwFTec.mp4"
"Ashnikko","Deal With It ft. Kelis","vVKyP5ZvJ8","E:/Karaoke/Songs/Ashnikko - Deal With It ft. Kelis - vVKyP5ZvJ8.mp4"
"Ashnikko","Halloweenie","w0BfMV-l2Os","E:/Karaoke/Songs/Ashnikko - Halloweenie - w0BfMV-l2Os.mp4"
"Ashnikko","Halloweenie II Pumpkin Spice","fhvuP6CEdtA","E:/Karaoke/Songs/Ashnikko - Halloweenie II Pumpkin Spice - fhvuP6CEdtA.mp4"
"Ashnikko","Halloweenie III Seven Days","xakOsdjoGFc","E:/Karaoke/Songs/Ashnikko - Halloweenie III Seven Days - xakOsdjoGFc.mp4"
"Ashnikko","Halloweenie IV Innards","3WymFr2ZjF0","E:/Karaoke/Songs/Ashnikko - Halloweenie IV Innards - 3WymFr2ZjF0.mp4"
"Ashnikko","L8r Boi","HwZ4RewfElA","E:/Karaoke/Songs/Ashnikko - L8r Boi - HwZ4RewfElA.mp4"
"Ashnikko","Toxic","NPj49Gx7YE8","E:/Karaoke/Songs/Ashnikko - Toxic - NPj49Gx7YE8.mp4"
"Ataris, The","Boys of Summer, The","kX0C0dxIyiM","E:/Karaoke/Songs/Ataris, The - Boys of Summer, The - kX0C0dxIyiM.mp4"
"Audioslave","I Am the Highway","RBx5LTWTpeY","E:/Karaoke/Songs/Audioslave - I Am the Highway - RBx5LTWTpeY.mkv"
"Audioslave","Like A Stone","Cu-EsbslMts","E:/Karaoke/Songs/Audioslave - Like A Stone - Cu-EsbslMts.mp4"
"Audioslave","Show Me How to Live","SNvTfkFkmg8","E:/Karaoke/Songs/Audioslave - Show Me How to Live - SNvTfkFkmg8.mp4"
"Aurora","Running With The Wolves","B0A2GO2DEOo","E:/Karaoke/Songs/Aurora - Running With The Wolves - B0A2GO2DEOo.mp4"
"Avenged Sevenfold","Bat Country","Bd-MgL6gJSk","E:/Karaoke/Songs/Avenged Sevenfold - Bat Country - Bd-MgL6gJSk.mp4"
"Avenged Sevenfold","Nightmare","OiZToyYDluY","E:/Karaoke/Songs/Avenged Sevenfold - Nightmare - OiZToyYDluY.mp4"
"Avenged Sevenfold","Scream","oB7iT0PNA9Q","E:/Karaoke/Songs/Avenged Sevenfold - Scream - oB7iT0PNA9Q.mp4"
"B-52's, The","Love Shack","ezjrgMVuceg","E:/Karaoke/Songs/B-52's, The - Love Shack - ezjrgMVuceg.mp4"
"B-52's, The","Love Shack (Duet)","HcR9yHaBOC4","E:/Karaoke/Songs/B-52's, The - Love Shack (Duet) - HcR9yHaBOC4.mp4"
"B-52's, The","Song for a Future Generation","xM6s 10nakc","E:/Karaoke/Songs/B-52's, The - Song for a Future Generation - xM6s_10nakc.mp4"
"Baby Lasagna","Rim Tim Tagi Dim","Uomfhi8 DNo","E:/Karaoke/Songs/Baby Lasagna - Rim Tim Tagi Dim - Uomfhi8_DNo.mkv"
